0.001 0
0.051 0
0.101 0
0.151 4.38213e-10
0.201 4.94766e-10
0.251 5.37577e-10
0.301 5.64961e-10
0.351 5.82642e-10
0.401 5.96284e-10
0.451 6.10911e-10
0.501 6.11154e-10
0.551 6.09258e-10
0.601 6.08861e-10
0.651 5.85839e-10
0.701 5.7116e-10
0.751 5.53509e-10
0.801 5.34351e-10
0.851 5.08899e-10
0.901 4.90212e-10
0.951 4.58363e-10
1.001 4.33011e-10
1.051 4.05927e-10
1.101 3.76622e-10
1.151 3.44644e-10
1.201 3.11514e-10
1.251 2.83199e-10
1.301 2.51633e-10
1.351 2.22826e-10
1.401 1.94105e-10
1.451 1.69183e-10
1.501 1.45783e-10
1.551 1.24285e-10
1.601 1.06399e-10
1.651 8.92809e-11
1.701 7.71557e-11
1.751 6.47056e-11
1.801 5.44839e-11
1.851 4.5345e-11
1.901 3.7718e-11
1.951 3.20898e-11
2.001 2.6949e-11
2.051 2.27977e-11
2.101 1.89593e-11
2.151 1.5527e-11
2.201 1.24213e-11
2.251 1.0135e-11
2.301 8.48117e-12
2.351 7.00429e-12
2.401 5.87959e-12
2.451 4.784e-12
2.501 3.85057e-12
2.551 3.06816e-12
2.601 2.53867e-12
2.651 2.08398e-12
2.701 1.58942e-12
2.751 1.18656e-12
2.801 9.19356e-13
2.851 6.6011e-13
2.901 5.42859e-13
2.951 4.24497e-13
3.001 2.99759e-13
